"adm4_pcode","adm4_en","adm3_en","adm2_en","adm1_en","year","date","uuid.x","freq.x","atm_count","atm_nearest","bank_count","bank_nearest","college_count","college_nearest","community_centre_count","community_centre_nearest","convenience_count","convenience_nearest","fire_station_count","fire_station_nearest","kindergarten_count","kindergarten_nearest","lighthouse_count","lighthouse_nearest","market_place_count","market_place_nearest","park_count","park_nearest","police_count","police_nearest","school_count","school_nearest","shelter_count","shelter_nearest","supermarket_count","supermarket_nearest","telephone_count","telephone_nearest","town_hall_count","town_hall_nearest","university_count","university_nearest","uuid.y","freq.y","clinic_count","clinic_nearest","dentist_count","dentist_nearest","doctors_count","doctors_nearest","hospital_count","hospital_nearest","optician_count","optician_nearest","pharmacy_count","pharmacy_nearest","uuid.x.1","freq.x.1","drinking_water_count","drinking_water_nearest","water_mill_count","water_mill_nearest","water_tower_count","water_tower_nearest","water_works_count","water_works_nearest","water_well_count","water_well_nearest","sanitary_dump_station_count","sanitary_dump_station_nearest","toilet_count","toilet_nearest","recycling_count","waste_basket_count","waste_basket_nearest","wastewater_plant_count","wastewater_plant_nearest","waste_transfer_station_count","waste_transfer_station_nearest","uuid.y.1","freq.y.1","poi_count","uuid","freq","osm_wetland_nearest","osm_reservoir_nearest","osm_water_nearest","osm_riverbank_nearest","osm_dock_nearest","osm_river_nearest","osm_stream_nearest","osm_canal_nearest","osm_drain_nearest","tave_avg","tmin_avg","tmax_avg","heat_index_avg","no2_avg","co_avg","so2_avg","o3_avg","pm10_avg","pm25_avg","brgy_healthcenter_pop_reached_pct_5min","brgy_healthcenter_pop_reached_pct_15min","brgy_healthcenter_pop_reached_pct_30min","hospital_pop_reached_pct_5min","hospital_pop_reached_pct_15min","hospital_pop_reached_pct_30min","rhu_pop_reached_pct_5min","rhu_pop_reached_pct_15min","rhu_pop_reached_pct_30min"
"PH137503013","Tangos","City of Navotas","NCR, Third District","National Capital Region","2022",2022-01-01,"OSMPA001DC1","Y",0,4603.73430128752,0,3043.45927554114,0,10000,0,10000,0,613.746655186673,0,544.073639517943,0,10000,0,10000,0,10000,0,10000,0,3410.72731681607,28,0,0,837.815429838805,0,10000,0,10000,0,2268.16694648721,0,10000,"OSMPH001DC1","Y",0,10000,0,10000,0,10000,0,1594.31474207581,0,10000,0,735.553906242281,"OSMPS001B7A","Y",0,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0,4596.76457724112,1,0,10000,0,10000,0,10000,"OSMPT001DC1","Y",29,"OSMWB001A52","Y",3975.98376830025,7860.10068007941,0,0,5773.34670051598,0,762.324680572056,4323.95196183751,3371.87637811644,28.0266575342466,25.7227123287671,30.8869315068493,31.3947123287671,6.11191780821918,0.161572404371585,3.37232240437158,33.9846994535519,64.3920273972603,45.1384931506849,0,0,100,0,100,100,100,100,100
"PH137503014","Tanza","City of Navotas","NCR, Third District","National Capital Region","2022",2022-01-01,"OSMPA001EE5","Y",0,4409.18015136054,0,2893.95308135535,0,10000,0,10000,0,590.159595859817,0,393.261195624323,0,10000,0,10000,0,10000,0,10000,0,3206.34167432943,4,0,0,664.864918921575,0,10000,0,10000,0,2095.28292627564,0,10000,"OSMPH001EE5","Y",0,10000,0,10000,0,10000,0,1398.11424530757,0,10000,0,418.911431327088,"OSMPS001DB9","Y",0,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0,4411.65945012325,2,0,10000,0,10000,0,10000,"OSMPT001EE5","Y",8,"OSMWB001B76","Y",10.1180796925371,7437.74283675485,0,0,5777.47461601766,0,353.295641897741,3781.68838557127,3058.72106183089,28.0266575342466,25.7227123287671,30.8869315068493,31.3947123287671,6.12093150684932,0.161684699453552,3.37439890710383,33.9894808743169,64.438602739726,45.1721643835616,0,0,97.32,0,19.16,99.47,82.84,91.24,99.47
"PH137603001","Alabang","City of Muntinlupa","NCR, Fourth District","National Capital Region","2022",2022-01-01,"OSMPA001C01","Y",3,0,33,0,4,0,0,951.60901846311,20,0,0,3083.66943190077,0,594.987730490107,0,10000,1,0,0,10000,1,0,28,0,0,5032.12623198653,6,0,0,10000,0,737.601444797755,0,10000,"OSMPH001C01","Y",0,10000,3,0,5,0,2,0,4,0,16,0,"OSMPS001D47","Y",0,10000,0,10000,1,0,0,10000,0,10000,0,10000,13,0,0,0,10000,0,10000,0,10000,"OSMPT001C01","Y",442,"OSMWB001892","Y",0,4550.72194741445,0,0,10000,0,1027.6179557617,9059.48542711376,2799.47401777982,28.3440547945205,26.1041917808219,31.2947671232877,32.0793424657534,6.126,0.157712295081967,3.31502732240437,34.1250273224044,64.4637808219178,45.1899452054795,42.13,100,100,94.87,100,100,95.84,100,100
"PH137603002","Bayanan","City of Muntinlupa","NCR, Fourth District","National Capital Region","2022",2022-01-01,"OSMPA001C84","Y",0,73.4456373629184,0,53.8922249453728,0,394.649544809825,0,582.999313777512,3,0,0,2736.55208673113,0,2073.04256265156,0,10000,0,630.789039719286,0,10000,0,396.777756074379,18,0,0,4880.22140126266,1,0,0,10000,0,2497.24831086703,0,10000,"OSMPH001C84","Y",0,10000,2,0,0,96.7851974332971,0,676.092332985495,0,74.6999414667598,5,0,"OSMPS001E8E","Y",0,10000,0,10000,1,0,0,10000,0,10000,0,10000,0,141.443827192992,0,0,10000,0,10000,0,10000,"OSMPT001C84","Y",56,"OSMWB001915","Y",944.154618437994,4564.3432584178,0,186.597961690596,10000,0,543.857979102041,9656.30310774272,2336.96120634601,28.3440547945205,26.1041917808219,31.2947671232877,32.0793424657534,6.13205479452055,0.157693989071038,3.3142349726776,34.1655737704918,64.5414246575343,45.2442739726027,0,94.46,94.46,73.43,94.46,94.46,88.49,94.46,94.46
"PH137603003","Buli","City of Muntinlupa","NCR, Fourth District","National Capital Region","2022",2022-01-01,"OSMPA001DC2","Y",0,705.888594207089,0,564.416808955507,0,1280.46768520276,0,912.973958100615,0,583.550536760079,0,7018.21733428525,0,2902.06046261908,0,10000,0,2375.66315136877,0,10000,0,717.621482739928,9,0,0,8967.4674147913,0,770.964085852365,0,10000,0,701.64167486322,0,10000,"OSMPH001DC2","Y",0,10000,0,2376.58318560009,0,2441.68622881952,0,2272.5978911545,0,2632.26883087028,0,764.639314099048,"OSMPS001B79","Y",0,10000,0,10000,0,725.632899007955,0,10000,0,10000,0,10000,0,876.678124074807,0,0,10000,0,10000,0,10000,"OSMPT001DC2","Y",12,"OSMWB001A53","Y",1137.34328260429,8337.82338931455,0,1432.91607764929,10000,0,920.470144447083,9278.62049088964,2133.0032031803,28.3440547945205,26.1041917808219,31.2947671232877,32.0793424657534,6.13553424657534,0.157741256830601,3.31915300546448,34.2011202185792,64.5605205479452,45.2577534246575,0,70.44,100,0,100,100,97.11,100,100
"PH137603004","Cupang","City of Muntinlupa","NCR, Fourth District","National Capital Region","2022",2022-01-01,"OSMPA001C83","Y",4,0,13,0,1,0,1,0,5,0,0,4940.44004441175,0,350.097089575543,0,10000,0,524.248589698732,0,10000,1,0,16,0,0,6635.40491110363,2,0,0,10000,1,0,0,10000,"OSMPH001C83","Y",0,10000,0,603.419309167364,1,0,0,426.29641150201,0,618.459607604695,2,0,"OSMPS001E8D","Y",0,10000,0,10000,13,0,0,10000,0,10000,0,10000,0,19.0806701253634,0,0,10000,0,10000,0,10000,"OSMPT001C83","Y",100,"OSMWB001914","Y",0,5715.93774942677,0,0,10000,0,0,8085.99617216301,1256.46280108528,28.3440547945205,26.1041917808219,31.2947671232877,32.0793424657534,6.13813698630137,0.15775,3.32027322404372,34.2106830601093,64.604602739726,45.288904109589,18.93,100,100,34.01,100,100,44.66,100,100
"PH137603005","Poblacion","City of Muntinlupa","NCR, Fourth District","National Capital Region","2022",2022-01-01,"OSMPA001DC3","Y",1,0,1,0,0,113.65876690469,1,0,12,0,1,0,0,196.948586181724,0,10000,0,3026.59439611491,0,10000,1,0,12,0,1,0,3,0,0,10000,0,4898.67036184822,0,10000,"OSMPH001DC3","Y",0,10000,0,187.147923226661,0,1874.43425218387,1,0,0,974.172314933085,3,0,"OSMPS001B78","Y",0,10000,0,10000,3,0,0,10000,0,10000,0,10000,0,457.165450117939,0,0,10000,0,10000,0,10000,"OSMPT001DC3","Y",87,"OSMWB001A54","Y",3159.72470091414,866.72724803513,0,1584.97569631501,10000,0,0,4844.03223908259,0,27.538602739726,25.2456438356164,30.6600821917808,30.5125753424658,5.25780821917808,0.157698907103825,3.32,33.9527322404372,53.5398082191781,37.4555342465753,6.22,89.68,100,53.71,98.21,100,38.6,100,100
"PH137603006","Putatan","City of Muntinlupa","NCR, Fourth District","National Capital Region","2022",2022-01-01,"OSMPA001C02","Y",3,0,17,0,4,0,1,0,10,0,0,967.150785479912,0,533.984741644259,0,10000,0,1520.84406911112,0,10000,2,0,36,0,0,2596.00402054211,2,0,0,10000,0,3106.99335804099,0,10000,"OSMPH001C02","Y",0,10000,3,0,0,97.2782684005242,3,0,0,690.33865437049,6,0,"OSMPS001D30","Y",0,10000,0,10000,5,0,0,10000,0,10000,0,10000,0,770.769008964437,0,0,10000,0,10000,0,10000,"OSMPT001C02","Y",186,"OSMWB001893","Y",1908.00293538502,2301.70533005307,0,0,10000,0,0,7536.70116739513,711.3011720399,28.3440547945205,26.1041917808219,31.2947671232877,32.0793424657534,6.14087671232877,0.157596721311475,3.31975409836066,34.2246994535519,64.6086301369863,45.2909589041096,0,91.21,97.32,71.65,97.32,97.32,71.2,97.32,97.32
"PH137603007","Sucat","City of Muntinlupa","NCR, Fourth District","National Capital Region","2022",2022-01-01,"OSMPA001D32","Y",0,1033.90979831994,1,0,1,0,0,700.88797182122,0,953.764616212737,0,7247.16616002589,0,2852.96344890505,0,10000,0,2925.02739524945,0,10000,1,0,18,0,0,9079.34005258011,0,1048.65761101709,0,10000,0,1039.87713007678,0,10000,"OSMPH001D32","Y",0,10000,0,2836.29177045389,0,2552.50941580116,0,2837.9530071405,0,2914.37849630039,0,1084.1727706966,"OSMPS001C03","Y",0,10000,0,10000,3,0,0,10000,0,10000,0,10000,1,0,0,0,10000,0,10000,0,10000,"OSMPT001D32","Y",53,"OSMWB0019C3","Y",1765.15030561244,7658.77873029815,0,1924.52360761849,10000,0,0,7241.39203873513,1659.76862137681,28.3440547945205,26.1041917808219,31.2947671232877,32.0793424657534,6.13972602739726,0.15754043715847,3.32270491803279,34.2277322404372,64.5823835616438,45.2720273972603,0,43.96,100,0,100,100,48.35,100,100
"PH137603008","Tunasan","City of Muntinlupa","NCR, Fourth District","National Capital Region","2022",2022-01-01,"OSMPA001DC4","Y",3,0,4,0,1,0,0,1067.40833958516,8,0,0,355.201259274326,2,0,0,10000,0,3494.86432458388,0,10000,2,0,35,0,0,294.192326678331,1,0,0,10000,0,5288.29838127946,0,10000,"OSMPH001DC4","Y",0,10000,4,0,1,0,0,144.185520291284,3,0,5,0,"OSMPS001B82","Y",0,10000,0,10000,8,0,0,10000,0,10000,0,10000,3,0,0,0,10000,0,10000,0,10000,"OSMPT001DC4","Y",200,"OSMWB001A55","Y",1305.54658605407,1404.56186280589,0,1164.18380182119,10000,0,0,4415.53376865974,0,27.538602739726,25.2456438356164,30.6600821917808,30.5125753424658,5.25835616438356,0.15772349726776,3.33415300546448,33.9638797814208,53.5452602739726,37.4580273972603,15.2,47.69,100,76.38,100,100,86.76,100,100
"PH137603009","New Alabang Village","City of Muntinlupa","NCR, Fourth District","National Capital Region","2022",2022-01-01,"OSMPA001D31","Y",4,0,41,0,0,43.9029670279354,0,707.261448023066,7,0,0,1269.68925512882,1,0,0,10000,0,1967.99742014612,0,10000,1,0,10,0,0,2219.17384785054,6,0,0,10000,0,1864.9450727337,0,10000,"OSMPH001D31","Y",0,10000,0,1296.09842146974,1,0,0,1273.87326402563,0,208.06167768433,4,0,"OSMPS001C02","Y",0,10000,0,10000,1,0,0,10000,0,10000,0,10000,0,874.909269013951,0,0,10000,0,10000,0,10000,"OSMPT001D31","Y",210,"OSMWB0019C2","Y",2018.74698636498,1258.16346457802,0,0,10000,0,163.079770197068,6394.51557220711,228.855538718309,28.3440547945205,26.1041917808219,31.2947671232877,32.0793424657534,6.14391780821918,0.158029508196721,3.3481693989071,34.233306010929,64.678904109589,45.3393150684931,11.09,100,100,21.88,100,100,0.75,100,100
